iter	Passed	Remaining
0	1	145
1	2	125
2	3	116
3	4	108
4	5	105
5	6	103
6	7	101
7	8	100
8	9	99
9	10	97
10	11	95
11	12	94
12	13	93
13	15	92
14	16	90
15	17	89
16	17	87
17	18	85
18	19	84
19	20	82
20	21	80
21	22	79
22	23	78
23	24	76
24	25	75
25	26	74
26	27	73
27	28	72
28	29	71
29	30	70
30	31	69
31	32	68
32	33	67
33	34	66
34	35	65
35	36	64
36	37	63
37	37	61
38	38	60
39	39	59
40	40	58
41	41	56
42	42	55
43	42	54
44	43	53
45	45	52
46	46	51
47	46	50
48	47	49
49	48	48
50	49	47
51	50	46
52	51	45
53	52	44
54	52	43
55	53	42
56	54	41
57	55	40
58	56	39
59	57	38
60	58	37
61	59	36
62	60	35
63	62	35
64	63	34
65	63	32
66	64	31
67	65	30
68	66	30
69	67	28
70	68	27
71	69	27
72	70	26
73	71	25
74	72	24
75	73	23
76	73	22
77	74	21
78	75	20
79	76	19
80	77	18
81	78	17
82	79	16
83	79	15
84	80	14
85	81	13
86	82	12
87	83	11
88	83	10
89	84	9
90	85	8
91	86	7
92	87	6
93	88	5
94	88	4
95	89	3
96	90	2
97	91	1
98	92	0
99	93	0
